VoIP Provider,Description,URL,Image logo URL,Amount of ratings,Amount of reviews,Most rated review,Score
Google Hangouts (Classic),"The classic version of Google Hangouts is a communication platform that includes messaging, voice, VoIP, and video call capabilities. It was part of Google’s G Suite offering and integrated with applications such as Gmail and Google+. Users of the classic version of Hangouts will be migrated to the …",https://www.trustradius.com/products/google-hangouts/reviews,https://media.trustradius.com/product-logos/RG/TN/V7CU4PUGSQ69-180x180.PNG,380 ratings,70 reviews,"We currently use Google Hangouts (Classic) for interdepartmental communication. As a wedding facility, we have a lot of brides, a lot of moving parts, and a lot of different hands in the planning process. Google Hangouts (Classic) allows us to communicate without having to go to another person's office. Especially in these COVID times, it allows us to maintain social distancing. Also, if someone is meeting with or on the phone with a bride, it allows us to quickly ask questions to someone else in another office.",8.3
RingCentral,"RingCentral is a cloud-based VoIP solution available via computer mobile application. It features video and audio conferencing, desktop phone rentals, collaboration tools, and integrations with other business applications. RingCentral offers plans available on a monthly, per user subscription basis.",https://www.trustradius.com/products/ringcentral/reviews,https://media.trustradius.com/vendor-logos/f4/PY/TD7Q013W5TH1-180x180.JPEG,98 ratings,61 reviews,"RingCentral is used as our primary method of communication for Phone, Video Conferencing, Screen Sharing, and messaging. We rolled it out across all of our divisions and all our locations in North America. RingCentral allowed us to eliminate our single point of failure on-prem PBX and gives our employees access to all their communications on their computer or mobile - from work or from home.",7.6
GoToConnect (formerly Jive),"GoToConnect Powered by Jive is a cloud-based business phone system with built-in web-based video conferencing solutions. It includes features such as call analytics, call recording, softphone, fax to email, voicemail to email, and desktop integration.",https://www.trustradius.com/products/gotoconnect-powered-by-jive/reviews,https://media.trustradius.com/product-logos/UU/JS/ZWSIQ9I22AV2-180x180.PNG,24 ratings,60 reviews,"We are using Jive as our corporate phone system across the entire organization. Previously we tried different VOIP solutions to accommodate our completely remote staff, but none of those systems gave us the corporate options like extensions that we need.",8.3
MiCloud Connect (formerly ShoreTel),"MiCloud Connect is a business communications solution for contact centers that includes features like IP PBX telephony service, desk phones, softphone, and collaboration tools. It is integrable with other business communication technology, including Microsoft Outlook and CRM software.",https://www.trustradius.com/products/micloud-connect/reviews,https://media.trustradius.com/product-logos/kz/Vo/ZU36O5V0X0AT-180x180.PNG,50 ratings,60 reviews,"We purchased Mitel MiCloud Connect intending to create a better unified communication plan. As a business, we continued to grow satellite offices, as well as number of employees who worked from home in various locations. We continued to find it challenging to deploy our previous phone system in remote locations (especially at work employees) without significant cost. As a whole, our intent was to allow us to have a phone system, but also a messaging platform, and conferencing solution, that would be elastic and grow with our business growth.",6.9
Google Voice,"Google Voice is a free IP telephony service that provides users with one phone number that can be forwarded to multiple phones or devices. It includes features such as call forwarding, voicemail translation, text messaging, and voice calls. Fees may apply for international calling.",https://www.trustradius.com/products/google-voice/reviews,https://media.trustradius.com/product-logos/bQ/YS/D8JUTB5TBITT-180x180.PNG,120 ratings,58 reviews,"We use Google voice so each employee has a dedicated number to use on marketing materials. It makes it easy to integrate with an existing phone, so there is no need for expensive equipment. It also allows us to have a professional number that can be kept separate from the personal numbers of each employee.",8.5
Grasshopper,"Grasshopper is an IP telephony business communication solution that provides companies with a toll-free or local phone number. It has both desktop and mobile applications and includes features such as custom greeting recording, call forwarding, call transfer, call reporting, and voicemail.",https://www.trustradius.com/products/grasshopper/reviews,https://media.trustradius.com/product-logos/07/hE/X3ITEQ0NPESV-180x180.PNG,26 ratings,51 reviews,"Used for the entire organization, it addresses the problem of many remote workers who are still expected to have an office number. This way we also do not have to have a LAN line set up within the office space. it is perfect for our application where we need a store front, but also are not always there.",9.1
Cisco Unified Communications Manager (Call Manager),"Call Manager is a unified call control center from Cisco that supports enterprise collaboration functions across the spectrum of IP telephony, video & web conferencing, and messaging. Features include call forwarding, call back, call transfer, ad hoc conferencing, and call park.",https://www.trustradius.com/products/cisco-unified-communications-manager/reviews,https://media.trustradius.com/vendor-logos/bV/DJ/Z0PQ67X5146P-180x180.PNG,83 ratings,35 reviews,"BT as a partner and I as a build and design engineer suggest customers solutions for their telecommunications' needs and CUCM is getting used by all our customers and we time to time suggest them, manage and implement new versions of CUCM for them.",8.7
Ooma Office,"For businesses of all sizes, Ooma provides advanced voice and collaboration features which they describe as flexible and scalable. With plans starting at $19.95 per user per month, Ooma Office is available without contracts or long-term commitments so as to make it easy for a small business to scale…",https://www.trustradius.com/products/ooma-office/reviews,https://media.trustradius.com/product-logos/Vc/Nm/DZ3ZL4G90816-180x180.JPEG,2 ratings,34 reviews,"We use Ooma Office for the entire office (all employees). It has helped greatly with our Customer Service department. The excellent various features are all extremely easy for me to set up and manage online on an individual user basis. The Virtual Receptionist helps so much with weeding out any telemarketers and also with connecting our customers, suppliers, and subcontractors to the employees they need to speak with. Everyone at the office really enjoys the Ooma Office system.",9.3
Cisco Webex Calling,"Cisco Webex Calling is a cloud-based phone system optimized for midsize businesses, providing a PBX solution with a virtual receptionist and personalized voice mailboxes, calling with extension numbers, direct inward dialing (DID) numbers, directory URIs (email-style addresses), or directory-based d…",https://www.trustradius.com/products/cisco-webex-calling/reviews,https://media.trustradius.com/product-logos/sX/uR/WAGOF1QXF22S-180x180.PNG,33 ratings,32 reviews,We use Cisco Webex Calling for all staff in our organization. This allows us to have a work DDI number despite largely working from home as we can plug the phones into any internet connection without needing access to a corporate network. We also make use of the soft client on our smartphones so that the same landline number follows us around too but allows customers to call the cheaper number.,8.5
Vonage Business Communications,"Vonage Business Cloud is a communication solution aimed at small-midsize companies. It integrates with third party applications, and includes IP-PBX capabilities, video conferencing, and collaboration tools. Pricing starts at $19.99 per month and increases with the amount of phone lines needed.",https://www.trustradius.com/products/vonage-business-cloud/reviews,https://media.trustradius.com/product-logos/G1/PH/A85BL7XATTNF-180x180.JPEG,27 ratings,19 reviews,"We use Vonage for Business as our phone system throughout our organization. Especially the auto attendant, group calling, softphone, and other features. I have a virtual assistant and it is great that she can log in from another country and operate on our phone system just as if she was right here. I also like that I can make calls from my cell phone that go through our office phone number, thus keeping my cell number private.",8.5
Rakuten Viber,"Viber, now from Rakuten (acquired 2014) is an instant messaging and cross-platform VoIP software solution designed for personal use and available for both desktops and as a mobile app. It includes features such as video and audio calls, instant message, and unlimited-member group chats. Users can al…",https://www.trustradius.com/products/rakuten-viber/reviews,https://media.trustradius.com/product-logos/7r/AR/8WAOCQEBVXEI-180x180.JPEG,21 ratings,16 reviews,"Rakuten Viber is used by our whole organization. It is a means of communication in our organization. Sometimes when Skype for business is not running properly we have meetings using Rakuten Viber. It helps to be in touch with other colleagues. Last but not least, it allows us to create groups where we discuss some ""secondary important"" questions.",7.7
CloudTalk,"CloudTalk is cloud-based call center software for sales and support teams of all sizes, looking to improve customer experiences through more personalized, data-driven customer interactions.The vendor aims to help teams communicate clearly and efficiently.With CloudTalk users can get local, mobile or…",https://www.trustradius.com/products/cloudtalk/reviews,https://media.trustradius.com/product-logos/JK/kB/2X9X0DHHE057-180x180.PNG,2 ratings,13 reviews,"The customer service department is using CloudTalk and the customer satisfaction department. We use the call function, callback and sms function. It helps us to keep in touch with the client and therefore enables to do our jobs with a ease. The quality is also great, therefore we can count that we will be able to deliver a great service with it. ",8.2
CallFire,"CallFire is a VoIP and messaging solution designed for both external B2C interactions and internal company use. It includes features such as text messaging, call tracking, voice broadcasting, and an interactive voice response (IVR) system. Subscription pricing starts at $99 per month.",https://www.trustradius.com/products/callfire/reviews,https://media.trustradius.com/vendor-logos/TB/um/FVSHK3T7N7HD-180x180.PNG,7 ratings,12 reviews,"We use CallFire for text messaging our clients, as well as for a custom phone system that routes callers to the appropriate company representative. CallFire allows us administrative efficiency. With their communication tools, we're able to automate and track many client engagement and onboarding tasks.",9.8
HCL Sametime (formerly from IBM),"HCL Sametime (formerly IBM Lotus Sametime, acquired by HCL Technologies from IBM in 2018) is an enterprise-level unified communications and VoIP platform. It includes features such as instant messaging, web conferencing, voice and video integration, telephony capabilities, and presence information.",https://www.trustradius.com/products/hcl-sametime/reviews,https://media.trustradius.com/vendor-logos/z0/so/OW6ZG3V2HUG9-180x180.JPEG,8 ratings,10 reviews,HCL Sametime is used across in my company for internal communication. Sametime is integrated with HCL Notes. We use Sametime to facilitate communications with other offices across regions without the need to send emails all the time. We also use Sametime to have a quick internal team meeting for project discussion and status updates.,7.6
Mitel Applications Suite,"The Mitel Applications Suite (or MAS) is a unified business communications platform consisting of a number of different applications, built to suit the needs of enterprises.",https://www.trustradius.com/products/mitel-applications-suite/reviews,https://media.trustradius.com/vendor-logos/qI/61/XTPUVMKJ8758-180x180.PNG,10 ratings,7 reviews,"Mitel Connect is being used by the staff to utilize as a tool for communication. The Connect Client is installed on the workstations for the staff to be able to have instant message, schedule conference calls, manage their calendar, schedule meetings, manage their phone contacts, review call history, and much more. There are a many robust features that the end users benefit from with this solution.",8.2
Nextiva Business Phone Service,"Nextiva is a business communications platform that includes a VoIP solution, CRM software, BI software, cloud storage, phone and device rentals, email marketing automation software, and a contact center solution. These products can be purchased individually or together.",https://www.trustradius.com/products/nextiva-business-phone-service/reviews,https://media.trustradius.com/vendor-logos/u2/57/BGALVLJMMF8N-180x180.PNG,9 ratings,6 reviews,"Nextiva is our company's phone system and is being used across the whole organization. We use their desktop phones, conference phones, as well as the Nextiva app on our smart devices. We had previously used a different VOIP phone system that was not incredibly reliable, and this system has dramatically stabilized our phones and provided much-needed tools that we did not previously have.",8.2
CallTrackingMetrics,CallTrackingMetrics is a call tracking solution for all online and offline channels with real-time reporting and intelligent routing.,https://www.trustradius.com/products/calltrackingmetrics/reviews,https://media.trustradius.com/product-logos/LL/cc/V7NP7TOU26Z4-180x180.JPEG,1 rating,5 reviews,"We use CTM to keep communications with our clients and keep records of the same. It allows us to listen to users' calls live and it is very useful for quality control and follow up. Additionally, we use it for call tracking purposes for digital marketing accounts since CTM allows to install codes on the backend of websites for tracking numbers to be swapped dynamically based on the traffic source. ",9.4
Cisco Business Edition 6000 (BE6000),"Cisco Business Edition 6000 (BE6000) is a telephony and VoIP business phone with unified communications features from Cisco, similar to their enterprise Business Edition 7000 offering though targeted at SMBs with less extensive needs than their larger enterprise counterparts.",https://www.trustradius.com/products/cisco-business-edition-6000-be6000/reviews,https://media.trustradius.com/vendor-logos/bV/DJ/Z0PQ67X5146P-180x180.PNG,11 ratings,5 reviews,"For our company as a Cisco partner - BE6K is one of the most important products in our portfolio. In recent years, we delivered a lot of telephony modernization projects which [we] would not [have] be[en] able to complete without such important part as Cisco BE6K - a key element in any modern collaboration solutions.",9.2
FreeConferenceCall.com,"FreeConferenceCall.com is a free audio conferencing solution with features such as audio and video conferencing, screen-sharing, call recording, transcribed keywords, one-click web controls, transcribed keywords, instant messaging, and integrations with Microsoft Outlook and Google Calendar.",https://www.trustradius.com/products/freeconferencecall-com/reviews,https://media.trustradius.com/product-logos/zq/fL/N1QV1PQCA74T-180x180.JPEG,5 ratings,5 reviews,I used FreeConferenceCall to host virtual meetings with my clients - either individually or for groups.,9.0
Evolve IP - IP Phone Systems,"Evolve IP is a cloud-based business phone system that has integrations with third-party applications such as Google, Salesforce, and Zendesk. It includes features such as call forwarding, call park, voicemail, caller ID, group directory, audio conferencing, and inbound fax messaging.",https://www.trustradius.com/products/evolve-ip-ip-phone-systems/reviews,https://media.trustradius.com/product-logos/C5/tf/6RFH2P0TBEO6-180x180.PNG,5 ratings,4 reviews,"Our entire company uses this as our phone system as well as call center. Internally, we utilize the UC-One softphone application on Windows laptops and cell phones. It doesn't really address any ""problems"", but certainly causes a lot. We needed a new phone system a few years back and this was what was chosen.",4.4
HotTelecom,"Beta Company's HotTelecom is a service that consists of  a wide range of VoIP needs with over 6000 virtual phone numbers both local and mobile for business, designed to present an easy to use and affordable means of communication.HotTelecom offers virtual phone numbers, toll-free numbers, SMS number…",https://www.trustradius.com/products/hottelecom/reviews,https://media.trustradius.com/product-logos/d6/1p/EX7NVDNIDTP2-180x180.JPEG,0 ratings,4 reviews,The VoIP system by HotTelecom is used across the whole organization. It helps us to increase the level of effectiveness is working with incoming calls. Their solution also helps us to increase customers' loyalty level because now they do not need to spend a lot of time waiting to get the needed employee or department.,9.1
Zoom Phone,"Built on Zoom's platform, Zoom's full-featured cloud phone consolidates all business communication and collaboration into a single system. Available in 40+ countries, with expandable coverage through a bring-your-own-carrier offering, Zoom Phone supports inbound and outbound calling through the publ…",https://www.trustradius.com/products/zoom-phone/reviews,https://media.trustradius.com/product-logos/GA/qE/TKB25MP3F0T5-180x180.PNG,16 ratings,4 reviews,"Zoom Phone is being used in tandem with its desktop-friendly application—Zoom. While it is being used across the organization, it primarily depends on the person and the technological capabilities of employees' at-home set up. Zoom Phone, much like Zoom itself, addresses the problem of socially distant communication with it's own line of telecommunication benefits.",8.6
Cisco Business Edition 7000,"Cisco Business Edition 7000 is a collaboration and universal communication, VOIP / telephony, conferencing and messaging platform for enterprises of 1000 to 5000 employees, pre-configured (or configurable) to meet the needs of enterprises in many different verticals.",https://www.trustradius.com/products/cisco-business-edition-7000/reviews,https://media.trustradius.com/vendor-logos/bV/DJ/Z0PQ67X5146P-180x180.PNG,29 ratings,3 reviews,"It is being used across whole organization for hosting CUCM, CUC, etc. and to support telephone services via Cisco IP Phones and Jabber, etc.",8.4
Freshcaller,Freshcaller is a call center software for startups and small teams. Freshcaller lets businesses / teams set-up and run a powerful call center without spending a lot of time and money. It is suited for phone teams of size 1- 30.You can create custom greeting texts based on specific call scenarios. Th…,https://www.trustradius.com/products/freshcaller/reviews,https://media.trustradius.com/product-logos/4D/I1/1RAE2OUBTONG-180x180.JPEG,9 ratings,3 reviews,Freshcaller is currently being used in our environment as a call manager for our IT Help Desk. We have a number that users are able to call into for assistance and the next available analyst is able to answer the call and assist with any issues the end-users are experiencing.,7.4
FreeConference.com,FreeConference is a telephony and VoIP software solution from FreeConference.,https://www.trustradius.com/products/freeconference/reviews,https://media.trustradius.com/product-logos/KX/um/HV4WM11UZ8AZ-180x180.JPEG,3 ratings,2 reviews,"When I first transitioned from corporate America to entrepreneurship, I had limited financial resources. I needed a virtual way to meet with clients who were in other cities and countries. FreeConference.com was recommended to me and it's AWESOME!",9.9
JustCall,"JustCall is a cloud-based phone system designed to help businesses get phone numbers (in 58 countries) and make, receive and track calls from a web app, mobile apps or desktop apps. According to the vendor, it solves all the telephony requirements for an organization’s sales, support, and remote tea…",https://www.trustradius.com/products/justcall-io/reviews,https://media.trustradius.com/product-logos/hR/tr/BWQXMMSMG8TO-180x180.JPEG,2 ratings,2 reviews,"Currently JustCall is only implemented in the sales area of ​​our entire company, because it helps us to communicate with customers in a much more satisfactory and faster way. I believe that this platform has achieved the goal that customers can communicate in a way they love with the sales department. This allows us to achieve transactions with potential customers. I consider that this platform has behaved in a perfect way, really stable type of event. This platform has helped us to communicate as a work team, because I can make a call in just a few seconds to any of my colleagues in the sales sector thanks to the fact that this platform provides a panel where you can get an interaction with your work team through direct calls.",8.6
Aircall,"Aircall headquartered in Paris provides a VOIP system for business designed to support contact centers, featuring IVR and automated call routing, conference calls, shared call inbox and call notes, unlimited concurrent calls and call queuing, and many integrations with CRM or marketing systems to su…",https://www.trustradius.com/products/aircall/reviews,https://media.trustradius.com/vendor-logos/IW/AZ/B8AMXT10Z1N2-180x180.PNG,2 ratings,2 reviews,Aircall is used as our primary phone system for all calls including for clients as well as external and internal vendors. Any department that needs access to company phones uses Aircall. We all have separate accounts of course but there is only one phone number managed for the company. Aircall allows our employees who are spread out across the country to easily and quickly manage our phone calls from anywhere.,7.3
Comcast Business VOIP (VoiceEdge),"Comcast Business VOIP is a telephony and VoIP software solution available under the VoiceEdge brand, supporting mobile telephony, SIP trunking, cloud PBX, as well as Unified Communications features with the higher tier Business VoiceEdge edition that supplies users with a softphone, readable voicema…",https://www.trustradius.com/products/comcast-business-voip/reviews,https://media.trustradius.com/vendor-logos/zz/UL/HJDH9ORVDVEP-180x180.JPEG,5 ratings,2 reviews,"Comcast VOIP came packaged with our business internet service and has since become our primary source of incoming and outgoing phone calls throughout the whole company. It was pretty easy to setup, is simple to use and as long as there is internet service, it works as we expect it to.",6.3
FluentCloud,"FluentCloud, from FluentStream Technologies, is a dynamic, cloud-based business phone system. FluentCloud includes FluentStream's leading phone system, phone service and customer support team, all in one. The FluentCloud product aims to provide businesses with new telecommunications flexibility, wit…",https://www.trustradius.com/products/fluentcloud/reviews,https://media.trustradius.com/product-logos/EC/ao/09BONELOUWQK-180x180.PNG,0 ratings,2 reviews,"FluentCloud is technically used by everyone that works here as it is the system that records all of our calls. The callers on the floor don't really use it for anything other than that. Myself and management use FluentCloud on a daily basis. For me I use it listen to the callers calls and provide feedback. Or when a client wants to know the basics of the conversation where we scheduled his/her appointment. As far as business problems it quite often proves to a client that we are not at fault. What I mean is say a client went to an appointment that we scheduled for him and he gets there and the prospect says ""why are you here I didn't schedule an appointment"" or ""the person who called me pushed me into the appointment""....we can easily pull up the recording we saved and listen to it.",9.6
VirtualPBX,"VirtualPBX is a VoIP solution that in addition to VoIP offers analog, smartphone, WebRTC, SIP Trunking & native calling options. It can also be used as a virtual contact center or virtual office solution.",https://www.trustradius.com/products/virtual-pbx/reviews,https://media.trustradius.com/product-logos/9P/73/CHZBDB5EZUVB-180x180.JPEG,2 ratings,2 reviews,"Virtual PBX was used for a small business with a couple of employees that required auto-attendant and call routing to office, home and mobile phones.",8.0
Cisco IP Phone 6800 Series,"The Cisco IP Phone 6800 Series multiplatform phones are designed for affordability. The vendor states they deliver reliable, business-grade audio, with Gigabit Ethernet integration and low power usage, and are ideal for customers with moderate to active VoIP needs. The 6800 Series phones are support…",https://www.trustradius.com/products/cisco-ip-phone-6800-series/reviews,https://media.trustradius.com/product-logos/zB/Up/IVR8L8OWL76U-180x180.JPEG,10 ratings,2 reviews,[Cisco IP Phone 6800 Series] is used by the organization for calling - great for group numbers and multiple users to voice mail.,7.9
Lingo,Lingo is a telephony and VoIP software solution from Lingo.,https://www.trustradius.com/products/lingo/reviews,https://media.trustradius.com/product-logos/vA/d0/JEDFB07WH25I.gif,0 ratings,1 review,Lingo is utilized to help our sales team manage EDI orders for our big box retailers. We switched from SPS commerce that was much more expensive and not as user friendly. It helped handle EDI in a easier low cost fashion for our wholesale business which is in our industry is not growing significantly,6.0
MyPBX,MyPBX is a telephony and VoIP software solution from VOIPITS INC.,https://www.trustradius.com/products/mypbx/reviews,https://media.trustradius.com/product-logos/5w/Yj/KL3MCOVO5PWR.octet-stream,0 ratings,1 review,"I use MyPBX across the whole organization. It replaces people effort with virtual effort, for example:It serves as a virtual receptionist. I have set up virtual directions for ""new clients"", for ""client services"", and to specific people in the organisation including those located in different states in Australia.I have automated ""during business hours"" messaging and ""after business hours"" messaging with excellent results. When my office phone rings or any nominated extensions, my cell phone also rings so that I can be all places at once.I never miss a message, because any missed calls go directly to voicemail and are sent in a voice recording directly to my email client which I can access from my desktop or on my mobile phone. It is a complete hosted system with numerous options that are easy to set up. Whether I am in the office or anywhere in the world, I am always connected to my business real time.",10.0
CrazyCall,"CrazyCall is a cloud-based app that is designed to help contact centers and sales teams boost the performance of their outbound and inbound projects.CrazyCall requires no download or technical skills. According to the vendor, users can start making and receiving calls directly in their browser withi…",https://www.trustradius.com/products/crazycall/reviews,https://media.trustradius.com/product-logos/zx/r6/5NOF4IH0O7KV-180x180.JPEG,0 ratings,1 review,CrazyCall allows our sales team to be more efficient with their time. Call numbers have increased along with the quality of their calls. The software allows our team to better manage notes from calls made and eliminates the time that used to be spent manually logging and tracking calls. Managers are also better able to keep track of the number of calls that are being made by their team members.,8.0
Ring4,Ring4 headquartered in San Francisco offers a VoIP app that allows business owners and others to add a second (or third) phone line to their mobile phone.,https://www.trustradius.com/products/ring4/reviews,https://media.trustradius.com/product-logos/Su/zm/O9MMEZQ35A88-180x180.JPEG,0 ratings,1 review,"Ring4 allowed us to very easily access US phone numbers from France where we are located. We needed US phone numbers for banking operations, and we initially thought of going through the usual process of setting up a line and getting a SIM card and all that stuff, but Ring4 made it super easy by just having to download an app!",9.1
Versature,Versature is a telephony and VoIP software solution from Versature.,https://www.trustradius.com/products/versature/reviews,https://media.trustradius.com/product-logos/2Z/ts/3LXU4TDVS3JG.png,1 rating,1 review,"I am writing from a call centre perspective. The entire organization uses Versature for its administrative telephone lines and not its call centre lines. It offers a solution for administrative outbound calls and allows everyone an inbound telephone line with an extension. Every individual uses the voicemail feature, the answering rules (i.e. between 9 am and 12 noon on Wednesdays, the line should go directly to voicemail; but that afternoon, it should be transferred to a cell phone, etc.), and the voicemail transcription (voicemails are recorded and received by email with a helpful transcription that allows you to scan the message to see if it needs to be listened to right away or if it can wait) features. When people call in our administrative line, we use the auto attendant feature to guide them to the appropriate staff member. We also appreciate the three-way call conferencing feature and the easy-to-use call transfer process. ",9.0
Onebox,,https://www.trustradius.com/products/onebox/reviews,https://media.trustradius.com/vendor-logos/5R/sz/POSVR6WT7NBX-180x180.JPEG,5 ratings,1 review,Onebox is used across the whole organization to provide custom call routing and hunt group scheduling.,5.8
Kixie,Kixie is a telephony and VoIP software solution from Kixie.,https://www.trustradius.com/products/kixie/reviews,https://media.trustradius.com/product-logos/So/ns/QF59XCZHCRHP-180x180.JPEG,1 rating,1 review,"Kixie is primarily being used by our sales and lead generation team. Our sales team was tired of manually logging outbound calls to prospective clients. Before Kixie, our process was inefficient, unorganized, and time-consuming. With Kixie, our sales team no longer needs to do any manual logging or tracking of calls, as it's all done seamlessly and automatically by Kixie. This has given our sales team more time to call and interact with potential clients.",9.0
